Karel: {X:0, Y:1, orientation:0, BeepersInBeeperBag:0, on:true}
Karel: {X:0, Y:2, orientation:0, BeepersInBeeperBag:0, on:true}
Karel: {X:0, Y:2, orientation:3, BeepersInBeeperBag:0, on:true}
Karel: {X:0, Y:2, orientation:2, BeepersInBeeperBag:0, on:true}
Karel: {X:0, Y:2, orientation:1, BeepersInBeeperBag:0, on:true}
Karel: {X:0, Y:2, orientation:0, BeepersInBeeperBag:0, on:true}
Karel: {X:0, Y:2, orientation:1, BeepersInBeeperBag:0, on:true}
Karel: {X:0, Y:2, orientation:2, BeepersInBeeperBag:0, on:true}
Karel: {X:0, Y:2, orientation:3, BeepersInBeeperBag:0, on:true}
Karel: {X:0, Y:2, orientation:0, BeepersInBeeperBag:0, on:true}
Karel: {X:0, Y:2, orientation:0, BeepersInBeeperBag:1, on:true}
Karel: {X:0, Y:2, orientation:0, BeepersInBeeperBag:0, on:true}
